"ID","STATUS_PANTINUM","STATUS_GOLD","STATUS_SILVER","NUM_DEAL","LAST_DEAL","ADVANCE_PURCHASE","FARE_2015","FARE_2014","FARE_2013","FARE_2012","FARE_2011","KM_2015","KM_2014","KM_2013","KM_2012","KM_2011","PET_FLAG","DENIED_BOARDING","SUITCASE_FLAG","LOUNGE_FLAG","BUYER_FLAG"
1,0,0,0,2,920,23,1750,1820,1860,1880,1830,1700,1681,1853,1665,1798,0,0,0,0,0
2,0,0,0,4,280,13,1070,1160,1020,1170,1310,1189,1228,1001,1393,1721,0,0,1,0,0
3,0,0,0,3,560,24,1340,1400,1580,1520,1420,2011,1204,1612,1175,1515,0,0,0,0,0
4,0,0,0,1,1960,21,2210,1920,1960,1640,1140,1216,1361,1544,1638,1551,0,0,0,0,0
5,0,0,1,7,400,25,2460,2580,2600,2600,2540,2904,2763,2732,2580,2879,0,0,0,0,0
6,0,0,0,3,480,27,1350,1340,1320,1410,1350,1389,987,1337,1461,1497,0,0,0,0,0
7,0,0,0,2,680,15,1350,1360,1400,1400,1520,1082,1495,1175,950,1056,0,0,0,0,0
8,0,0,0,3,480,16,1330,1410,1310,1350,1310,930,859,1156,1405,1595,0,0,0,0,0
9,0,0,0,5,320,20,1360,1410,1240,1200,1150,432,683,353,548,615,0,0,0,0,0
10,0,0,0,2,1080,25,2110,2000,2020,2120,2090,1954,1967,1453,1766,2321,0,0,0,0,1
11,0,0,0,4,400,22,1590,1720,1710,1670,1660,1314,1025,1287,1700,1358,0,0,0,0,0
12,0,0,1,7,400,26,2570,2520,2560,2440,2450,2816,2704,2645,2474,2649,0,0,0,0,0
13,0,0,0,5,360,18,1570,1700,1610,1720,1750,881,1209,1556,1320,1774,0,0,0,0,1
14,0,0,1,4,560,21,2150,2140,2230,2210,2150,2203,1773,1899,1962,2304,0,0,0,1,0
15,0,0,0,8,200,20,1320,1320,1480,1330,1410,1623,1663,1598,1483,1383,0,0,0,0,0
16,0,0,0,4,440,17,1680,1530,1660,1690,1690,1778,1694,1503,1396,1017,0,0,0,0,0
17,0,0,0,4,440,22,1820,1760,1850,1800,1760,1302,1169,1494,1801,1819,0,0,0,0,0
18,0,0,0,3,440,19,1500,1460,1320,1420,1370,2163,1850,1814,1902,1427,0,0,0,0,0
19,0,0,0,2,960,20,1550,1860,1840,1730,1580,1245,1458,1670,2021,1596,0,0,0,0,0
20,0,0,0,5,400,22,1790,1860,1990,1900,1810,1420,1478,1455,1820,1371,0,0,0,0,0
21,0,0,0,3,600,20,1680,1840,1750,1840,1740,2195,1992,1739,1736,1719,0,0,0,0,0
22,0,1,0,7,560,26,3720,3740,3860,3800,3730,3610,3790,3764,3539,3733,0,0,0,1,0
23,0,0,0,4,320,21,1420,1380,1380,1260,1240,911,1129,971,958,1323,0,0,0,0,0
24,0,0,0,4,320,18,1930,1430,1470,1190,540,930,656,873,992,1053,0,0,0,0,0
25,0,0,0,4,440,18,1700,1780,1850,1870,1730,1807,1083,1406,1475,1372,0,1,0,0,0
26,0,0,0,4,400,21,1420,1550,1600,1580,1570,1257,1261,1554,1955,2353,0,0,0,0,0
27,0,0,0,5,360,22,1570,1600,1600,1650,1630,1341,1434,1775,1870,1656,0,0,0,0,0
28,0,0,0,5,320,14,1470,1530,1480,1320,1300,1533,1206,833,1025,901,0,0,0,0,0
29,0,0,0,6,240,15,1270,1370,1330,1250,1310,1016,1089,1240,969,975,0,0,0,0,0
30,0,0,0,3,560,19,1420,1510,1470,1590,1600,768,1038,1062,1002,1360,0,0,0,0,0
31,0,0,0,4,360,16,1350,1310,1290,1270,1310,1424,1654,1402,784,971,0,0,0,0,0
32,0,0,0,5,280,15,1360,1390,1410,1350,1410,990,1382,1490,1182,1486,0,0,0,0,1
33,0,0,0,0,0,19,1300,1390,1420,1480,1380,1247,1564,1496,1810,1577,0,0,1,0,0
34,0,0,0,3,480,21,1280,1350,1330,1380,1430,1054,887,1158,1736,1506,0,0,0,0,0
